"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Add Child Category","Add Child Category"
"Add Root Category","Add Root Category"
"Allow Comment","Allow Comment"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Cancel","Cancel"
"Categories","Categories"
"Category %1","Category %1"
"Category Data","Category Data"
"Category Information","Category Information"
"Category is not available.","Category is not available."
"Category to delete was not found.","Category to delete was not found."
"Category","Category"
"Collapse All","Collapse All"
"Content","Content"
"Create New Category","Create New Category"
"Create New Post","Create New Post"
"Create New Tag","Create New Tag"
"Create New Topic","Create New Topic"
"Delete Category","Delete Category"
"Delete Post","Delete Post"
"Delete Tag","Delete Tag"
"Delete Topic","Delete Topic"
"Description","Description"
"Edit Category '%1'","Edit Category '%1'"
"Edit Post '%1'","Edit Post '%1'"
"Edit Tag '%1'","Edit Tag '%1'"
"Edit Topic '%1'","Edit Topic '%1'"
"Enabled","Enabled"
"Expand All","Expand All"
"Featured image","Featured image"
"ID","ID"
"INDEX,FOLLOW","INDEX,FOLLOW"
"INDEX,NOFOLLOW","INDEX,NOFOLLOW"
"Image","Image"
"In RSS","In RSS"
"Manage Categories","Manage Categories"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Robots","Meta Robots"
"Meta Title","Meta Title"
"NOINDEX,FOLLOW","NOINDEX,FOLLOW"
"NOINDEX,NOFOLLOW","NOINDEX,NOFOLLOW"
"Name","Name"
"New Category","New Category"
"New Child Category","New Child Category"
"New Post","New Post"
"New Root Category","New Root Category"
"New Tag","New Tag"
"New Topic","New Topic"
"Ok","Ok"
"Please Select Categories.","Please Select Categories."
"Please Select Posts.","Please Select Posts."
"Please Select Tags.","Please Select Tags."
"Please Select Topics.","Please Select Topics."
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Position","Position"
"Post %1","Post %1"
"Post Content","Post Content"
"Post Information","Post Information"
"Post name","Post name"
"Post to delete was not found.","Post to delete was not found."
"Post","Post"
"Posts","Posts"
"ROOT","ROOT"
"Reset","Reset"
"Root","Root"
"Save Category","Save Category"
"Save Post","Save Post"
"Save Tag","Save Tag"
"Save Topic","Save Topic"
"Save and Continue Edit","Save and Continue Edit"
"Short Description","Short Description"
"Something went wrong while saving the Category.","Something went wrong while saving the Category."
"Something went wrong while saving the Post.","Something went wrong while saving the Post."
"Something went wrong while saving the Tag.","Something went wrong while saving the Tag."
"Something went wrong while saving the Topic.","Something went wrong while saving the Topic."
"Sorry, but we can't move the Category because we can't find the new parent Category you selected.","Sorry, but we can't move the Category because we can't find the new parent Category you selected."
"Tag %1","Tag %1"
"Tag Information","Tag Information"
"Tag to delete was not found.","Tag to delete was not found."
"Tag","Tag"
"Tags","Tags"
"The Category has been deleted.","The Category has been deleted."
"The Category has been saved.","The Category has been saved."
"The Post has been deleted.","The Post has been deleted."
"The Post has been saved.","The Post has been saved."
"The Tag has been deleted.","The Tag has been deleted."
"The Tag has been saved.","The Tag has been saved."
"The Topic has been deleted.","The Topic has been deleted."
"The Topic has been saved.","The Topic has been saved."
"There was a Category move error. %1","There was a Category move error. %1"
"There was a Category move error.","There was a Category move error."
"This Category no longer exists.","This Category no longer exists."
"This Post no longer exists.","This Post no longer exists."
"This Tag no longer exists.","This Tag no longer exists."
"This Topic no longer exists.","This Topic no longer exists."
"This operation can take a long time","This operation can take a long time"
"Topic %1","Topic %1"
"Topic Information","Topic Information"
"Topic to delete was not found.","Topic to delete was not found."
"Topic","Topic"
"Topics","Topics"
"URL Key","URL Key"
"Views","Views"
"Warning message","Warning message"
"We can't perform this Category move operation because the parent Category matches the child Category.","We can't perform this Category move operation because the parent Category matches the child Category."
"You moved the Category","You moved the Category"
