ID,ID
"First Name","الاسم الاول"
"Last Name","الكنية"
Email,بريد إلكتروني
Group,مجموعة
"Save And Continue Edit","حفظ ومتابعة التحرير"
Delete,حذف
"Edit Author '%1'","تحرير المؤلف '%1'"
"New Author","مؤلف جديد"
"Author Information","معلومات الكاتب"
Customer,عميل
"Display Name","اسم العرض"
"This name will be displayed on frontend","سيتم عرض هذا الاسم في الواجهة الأماميةd"
Status,حالة
"Short Description","وصف قصير"
Avatar,الصورة الرمزية
"URL Key","مفتاح URL"
"Full URL","URL كامل"
Facebook,Facebook
"Facebook URL","Facebook URL"
Twitter,Twitter
"Twitter URL","Twitter URL"
"Author Info","معلومات المؤلف"
Name,اسم
Published,نشرت
Posts,المشاركات
Categories,فئات
"Create New Blog Category","إنشاء فئة مدونة جديدة"
Duplicate,ينسخ
"Save Category","حفظ الفئة"
"Delete Category","حذف الفئة"
Reset,إعادة ضبط
"New Child 123 Category","طفل جديد 123 فئة"
"New Root 12 Category","فئة جديدة جذر 12"
"Category Information","معلومات الفئة"
"Store Views","آراء المتجر"
"Meta Title","بعد العنوان"
"Meta Description","ميتا الوصف"
"Meta Keywords","كلمات دلالية"
"Meta Robots","ميتا روبوتات"
Category,فئة
Position,موضع
"Category Data","بيانات الفئة"
"Category information","معلومات الفئة"
"New Comment","تعليق جديد"
"Save and Continue Edit","حفظ ومتابعة التحرير"
"Edit Comment","تعديل التعليق"
"Comment Details","تفاصيل التعليق"
Post,بريد
Content,المحتوى
"View On Front End","عرض على الواجهة الأمامية"
Comment,تعليق
"Comment Information","معلومات التعليق"
"Check Connection","تفقد الإتصال"
"Import Setting","إعداد الاستيراد"
"Import Settings","اعدادات مهمه"
"Import Type","نوع الاستيراد"
" Import"," يستورد"
"Database Name","اسم قاعدة البيانات"
"Your SQL database name","اسم قاعدة بيانات SQL الخاصة بك"
"Database User Name","اسم مستخدم قاعدة البيانات"
"Your SQL database User name","اسم مستخدم قاعدة بيانات SQL الخاصة بك"
"Database Password","كلمة مرور قاعدة البيانات"
"Your SQL database Password","كلمة مرور قاعدة بيانات SQL الخاصة بك"
"Database Host","مضيف قاعدة البيانات"
"Your SQL database Hostname","اسم مضيف قاعدة بيانات SQL الخاص بك"
"Table Prefix","بادئة الجدول"
"Your table prefix name","اسم بادئة الجدول الخاص بك"
"Import Behaviour","سلوك الاستيراد"
"This action is applied to all data","يتم تطبيق هذا الإجراء على كافة البيانات"
"Allow update content on existing URL-key","السماح بمحتوى التحديث على مفتاح URL الموجود"
"If <b>Yes</b>, content will be updated on posts with existing url-key. Select <b>No</b> to add a new post","إذا <b> نعم </ b> ، سيتم تحديث المحتوى في المشاركات ذات مفتاح url الموجود. حدد <b> لا </ b> لإضافة رسالة جديدة"
"Image Path Hint","تلميح مسار الصورة"
"Create New Post","إنشاء منشور جديد"
Save,يحفظ
"Save as Draft","حفظ كمسودة"
" Save & add History"," احفظ وأضف التاريخ"
"Edit History Post '%1'","تحرير نشر المحفوظات '٪ 1'"
"Edit Post '%1'","تحرير المنشور '%1"
"New Post","منشور جديد"
"Store View","عرض المتجر"
Topics,المواضيع
Tags,العلامات
"Modified by","تم التعديل بواسطة"
"Modified At","تم التعديل في"
Action,عمل
"Edit History","تحرير المحفوظات"
"Post Information","معلومات المشاركة"
Author,مؤلف
Image,صورة
"The appropriate size is 265px * 250px.","الحجم المناسب هو 265 بكسل * 250 بكسل."
"In RSS","في RSS"
"Allow Comment","السماح بالتعليق"
"Publish Date","تاريخ النشر"
"Search Engine Optimization","محرك البحث الأمثل"
Design,تصميم
Layout,تخطيط
Sku,Sku
Products,منتجات
"New Category","فئة جديدة"
Edit,يحرر
Preview,معاينة
Restore,يعيد
" [deleted]","[تم الحذف]"
"All Store Views","جميع مشاهدات المتجر"
"New Tag","علامة جديدة"
"New Topic","موضوع جديد"
"Delete Image","حذف صورة"
"Create New Tag","إنشاء علامة جديدة"
"Edit Tag '%1'","تحرير العلامة '%1'"
"Create Tag","إنشاء علامة"
"Tag Information","معلومات العلامة"
Description,وصف
Tag,بطاقة شعار
"Create New Topic","إنشاء موضوع جديد"
"Edit Topic '%1'","تحرير موضوع '%1'"
"Create Topic","إنشاء موضوع"
"Topic Information","معلومات الموضوع"
Topic,عنوان
Blog,مقالات
"No Categories.","لا فئات."
"<i class=""mp-blog-icon mp-blog-calendar-times""></i> %1","<i class=""mp-blog-icon mp-blog-calendar-times""></i> %1"
"| Posted in %1"،"| تم النشر في %1"
"| <i class=""mp-blog-icon mp-blog-user""></i> %1","| <i class=""mp-blog-icon mp-blog-user""></i> %1"
"| <i class=""mp-blog-icon mp-blog-comments"" aria-hidden=""true""></i> %1","| <i class=""mp-blog-icon mp-blog-comments"" aria-hidden=""true""></i> %1"
"| <i class=""mp-blog-icon mp-blog-traffic"" aria-hidden=""true""></i> %1","| <i class=""mp-blog-icon mp-blog-traffic"" aria-hidden=""true""></i> %1"
"| <i class=""mp-blog-icon mp-blog-thumbs-up"" aria-hidden=""true""></i> %1","| <i class=""mp-blog-icon mp-blog-thumbs-up"" aria-hidden=""true""></i> %1"
Home,الصفحة الرئيسية
"Go to Home Page","اذهب إلى الصفحة الرئيسية"
"Monthy Archive","الأرشيف الشهري"
"Related Posts %1","الوظائف ذات الصلة %1"
"Related Posts","المنشورات ذات الصلة"
"List Posts from %1","قائمة المشاركات من %1"
Reply,رد
"Site Map","خريطة الموقع"
"This author no longer exists.","هذا المؤلف لم يعد موجودا."
"You can not delete this author. This is the author of %1 post(s)","لا يمكنك حذف هذا المؤلف. هذا هو مؤلف %1 مشاركة"
"The Author has been deleted.","تم حذف المؤلف."
"Author to delete was not found.","لم يتم العثور على المؤلف المطلوب حذفه."
"Author Management","إدارة المؤلف"
Authors,المؤلفون
"Please correct the data sent.","الرجاء تصحيح البيانات المرسلة."
"Something went wrong while saving the Post.","حدث خطأ ما أثناء حفظ المنشور."
"One of the authors has post. You can not delete this one.","أحد المؤلفين لديه وظيفة. لا يمكنك حذف هذا."
"Something went wrong while updating status for %1.","حدث خطأ أثناء تحديث حالة %1."
"A total of %1 record(s) have been removed.","تمت إزالة إجمالي %1 سجل (سجلات)."
"A total of %1 record(s) have been updated.","تم تحديث إجمالي %1 سجل (سجلات)."
"The Author has been saved.","تم حفظ المؤلف."
"Something went wrong while saving the Author.","حدث خطأ ما أثناء حفظ المؤلف."
"This category no longer exists.","هذه الفئة لم تعد موجودة."
"The Blog Category has been deleted.","تم حذف فئة المدونة."
"Blog Category to delete was not found.","لم يتم العثور على فئة المدونة المطلوب حذفها."
"%1 (ID: %2)","%1 (المعرف: %2)"
"New Child Category","فئة الطفل الجديد"
"New Root Category","فئة جذر جديدة"
"Manage Categories","إدارة الفئات"
"There was a Blog category move error.","كان هناك خطأ في نقل فئة المدونة."
"You moved the Blog category","قمت بنقل فئة المدونة"
"You saved the category.","لقد حفظت الفئة."
"Something went wrong while saving the category.","حدث خطأ ما أثناء حفظ الفئة."
"You saved the Blog Category.","قمت بحفظ فئة المدونة."
"This comment no longer exists.","هذا التعليق لم يعد موجودا."
"The Comment has been deleted.","تم حذف التعليق."
"Comment to delete was not found.","لم يتم العثور على تعليق للحذف."
Comments,تعليقات
"Something went wrong while saving the Comment.","حدث خطأ ما أثناء حفظ التعليق."
"Total of %1 comments has been deleted.","تم حذف مجموع %1 من التعليقات."
"Something wrong when delete Comments.","شيء خاطئ عند حذف التعليقات."
"Something went wrong while updating status","حدث خطأ ما أثناء تحديث الحالة"
"The comment has been saved.","تم حفظ التعليق."
"This History no longer exists.","هذا التاريخ لم يعد موجودا."
"The Post History has been deleted.","تم حذف محفوظات النشر."
"Post History to delete was not found.","لم يتم العثور على سجل النشر المطلوب حذفه."
"Post History","تاريخ النشر"
"Edit Post History","تحرير محفوظات النشر"
"The Post History has been restore.","تمت استعادة "تاريخ النشر"."
"Post History to restore was not found.","لم يتم العثور على سجل المشاركة المراد استعادته."
"The post history has been saved.","تم حفظ محفوظات البريد."
Import,يستورد
"You have replaced and updated %1 %2 successful. Skipped %3 %2.","لقد نجحت في استبدال % %2 وتحديثه. تم تخطي %3 %2."
"You have deleted %1 successful.","لقد قمت بحذف %1 بنجاح."
"You have imported %1 %2 successful. Skipped %3 %2.","لقد قمت باستيراد %1 %2 بنجاح. تم تخطيه %3 %2."
"There are no records are updated.","لا توجد سجلات يتم تحديثها."
