Save Change,Änderung speichern
Edit Author '%1',Autor '%1' bearbeiten
New Author,Neuer Autor
Author Information,Informationen zum Autor
Display Name,Anzeigename
This name will be displayed on frontend,Dieser Name wird am Frontend angezeigt.
Short Description,Kurzbeschreibung
Avatar,Avatar
URL Key,URL-Schlüssel
Facebook,Facebook
Facebook URL,Facebook-URL
Twitter,Zwitschern
Twitter URL,Twitter-URL
Author Info,Autorinfo
Categories,Kategorien
Create New Blog Category,Neue Blog-Kategorie erstellen
Save Category,Kategorie speichern
Delete Category,Kategorie löschen
Reset,Zurücksetzen
New Child Category,Neue Kinder-Kategorie
New Root Category,Neue Wurzelkategorie
Category Information,Kategorie Informationen
Name,Name
Status,Status
Store Views,Store Views
Meta Title,Meta-Titel
Meta Description,Meta Beschreibung
Meta Keywords,Meta Schlüsselwörter
Meta Robots,Meta Robots
Category,Kategorie
ID,ID
Position,Position
Posts,Posts
Category Data,Kategorie Daten
Category information,Informationen zur Kategorie
New Comment,Neuer Kommentar
Save and Continue Edit,Speichern und weiter bearbeiten
Edit Comment,Kommentar bearbeiten
Comment Details,Kommentar-Details
Post,Post
Customer,Kunde
Content,Inhalt
View On Front End,Ansicht am Frontend
Comment,Kommentar
Comment Information,Kommentar-Informationen
Create New Post,Neuen Beitrag erstellen
Edit Post '%1',Beitrag bearbeiten '%1''.
New Post,Neuer Beitrag
Post Information,Informationen eintragen
Image,Bild
Topics,Themen
Tags,Tags
In RSS,In RSS
Allow Comment,Erlaube Kommentare
Publish Date,Veröffentlichungsdatum
Search Engine Optimization,Suchmaschinen-Optimierung
Sku,Sku
Products,Produkte
New Category,Neue Kategorie
New Tag,Neuer Tag
New Topic,Neues Thema
Create New Tag,Neues Tag erstellen
Edit Tag '%1',Tag '%1' bearbeiten
Create Tag,Tag erstellen
Tag Information,Tag-Informationen
Description,Beschreibung
Tag,Tag
Create New Topic,Neues Thema erstellen
Edit Topic '%1',Thema '%1' bearbeiten
Create Topic,Thema erstellen
Topic Information,Informationen zum Thema
Topic,Thema
Author,Autor
No Categories.,Keine Kategorien.
Posted on %1,Veröffentlicht am %1
| Posted in %1, | Veröffentlicht in %1
| By: %1, | Von: %1
Blog,Blog
Home,Heim
Go to Home Page,Zur Startseite
Monthy Archive,Monatliches Archiv
Related Posts %1,Ähnliche Beiträge %1
Related Posts,Verwandte Beiträge
List Posts from %1,Beiträge auflisten von %1
Reply,Antwort
Site Map,Sitemap
Author Management,Autorenverwaltung
The Author has been saved.,Der Autor wurde gespeichert.
Something went wrong while saving the Author.,"Etwas ging schief, als der Autor gerettet wurde."
This category no longer exists.,Diese Kategorie existiert nicht mehr.
The Blog Category has been deleted.,Die Blog-Kategorie wurde gelöscht.
Blog Category to delete was not found.,Die zu löschende Blog-Kategorie wurde nicht gefunden.
%1 (ID: %2),%1 (ID: %2)
Manage Categories,Kategorien verwalten
Blog category is not available.,Blog-Kategorie ist nicht verfügbar.
