"Create at <a href="https://disqus.com/admin/create/" target="_blank">Disqus</a>","Create at <a href="https://disqus.com/admin/create/" target="_blank">Disqus</a>"
"Light/Dark","Light/Dark"
"Regiter AppID <a href="https://developers.facebook.com/apps/" target="_blank">here</a>","Regiter AppID <a href="https://developers.facebook.com/apps/" target="_blank">here</a>"
"The number of comments to show by default. The minimum value is 1.","The number of comments to show by default. The minimum value is 1."
"The order to use when displaying comments. Can be "social", "reverse_time", or "time".","The order to use when displaying comments. Can be "social", "reverse_time", or "time"."
"Add Child Category","Add Child Category"
"Add Root Category","Add Root Category"
"Allow Comment","Allow Comment"
"Are you sure you want to delete this Category?","Are you sure you want to delete this Category?"
"Better Blog","Better Blog"
"Blog name","Blog name"
"Cancel","Cancel"
"Categories","Categories"
"Category","Category"
"Category Data","Category Data"
"Category Information","Category Information"
"Category information","Category information"
"Category is not available.","Category is not available."
"Category to delete was not found.","Category to delete was not found."
"Collapse All","Collapse All"
"Comments","Comments"
"Content","Content"
"Create New Category","Create New Category"
"Create New Post","Create New Post"
"Create New Tag","Create New Tag"
"Create New Topic","Create New Topic"
"Dark","Dark"
"Delete","Delete"
"Delete ","Delete "
"Delete Category","Delete Category"
"Delete Post","Delete Post"
"Delete Tag","Delete Tag"
"Delete Topic","Delete Topic"
"Description","Description"
"Disable Completely","Disable Completely"
"Disqus Comment","Disqus Comment"
"Disqus unique name","Disqus unique name"
"Edit","Edit"
"Edit Post ","Edit Post "
"Edit Tag ","Edit Tag "
"Edit Topic ","Edit Topic "
"Enable","Enable"
"Enabled","Enabled"
"Expand All","Expand All"
"Facebook Comment","Facebook Comment"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: Color scheme"
"Facebook: Number of comment","Facebook: Number of comment"
"Facebook: Order by","Facebook: Order by"
"Featured image","Featured image"
"General","General"
"Go to Home Page","Go to Home Page"
"Home","Home"
"ID","ID"
"ID: %1","ID: %1"
"INDEX,FOLLOW","INDEX,FOLLOW"
"INDEX,NOFOLLOW","INDEX,NOFOLLOW"
"Image","Image"
"In RSS","In RSS"
"Leave empty for no suffix. Default: html","Leave empty for no suffix. Default: html"
"Light","Light"
"List Posts from %1","List Posts from %1"
"Manage Categories","Manage Categories"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Robots","Meta Robots"
"Meta Title","Meta Title"
"Meta description for posts list page","Meta description for posts list page"
"Meta keywords for posts list page","Meta keywords for posts list page"
"Meta title for posts list page","Meta title for posts list page"
"Most Recents","Most Recents"
"Most Views","Most Views"
"NOINDEX,FOLLOW","NOINDEX,FOLLOW"
"NOINDEX,NOFOLLOW","NOINDEX,NOFOLLOW"
"Name","Name"
"New Category","New Category"
"New Child Category","New Child Category"
"New Post","New Post"
"New Root Category","New Root Category"
"New Tag","New Tag"
"New Topic","New Topic"
"No Categories","No Categories"
"No Posts","No Posts"
"No Tags","No Tags"
"Number of most view posts","Number of most view posts"
"Number of recent posts","Number of recent posts"
"Ok","Ok"
"Parent Category","Parent Category"
"Please correct the data sent.","Please correct the data sent."
"Position","Position"
"Post","Post"
"Post Content","Post Content"
"Post Information","Post Information"
"Post name","Post name"
"Post to delete was not found.","Post to delete was not found."
"Posted in","Posted in"
"Posted on","Posted on"
"Posts","Posts"
"Pubid Id","Pubid Id"
"ROOT","ROOT"
"Read More","Read More"
"Reset","Reset"
"Reverse time","Reverse time"
"Root","Root"
"SEO","SEO"
"Save Category","Save Category"
"Save Post","Save Post"
"Save Tag","Save Tag"
"Save Topic","Save Topic"
"Save and Continue Edit","Save and Continue Edit"
"Short Description","Short Description"
"Show Blog Link in Footer links","Show Blog Link in Footer links"
"Show Blog Link in Top links","Show Blog Link in Top links"
"Show Sidebar Left","Show Sidebar Left"
"Show Sidebar Right","Show Sidebar Right"
"Sidebar","Sidebar"
"Social","Social"
"Something went wrong while saving the Post.","Something went wrong while saving the Post."
"Something went wrong while saving the Tag.","Something went wrong while saving the Tag."
"Something went wrong while saving the Topic.","Something went wrong while saving the Topic."
"Tag","Tag"
"Tag Information","Tag Information"
"Tag to delete was not found.","Tag to delete was not found."
"Tags","Tags"
"The Category has been deleted.","The Category has been deleted."
"The Post has been deleted.","The Post has been deleted."
"The Post has been saved.","The Post has been saved."
"The Tag has been deleted.","The Tag has been deleted."
"The Tag has been saved.","The Tag has been saved."
"The Topic has been deleted.","The Topic has been deleted."
"The Topic has been saved.","The Topic has been saved."
"There are no posts at this moment","There are no posts at this moment"
"There was a Category move error.","There was a Category move error."
"There was a Category move error. %1","There was a Category move error. %1"
"This Post no longer exists.","This Post no longer exists."
"This Tag no longer exists.","This Tag no longer exists."
"This Topic no longer exists.","This Topic no longer exists."
"This operation can take a long time","This operation can take a long time"
"Time","Time"
"Topic","Topic"
"Topic Information","Topic Information"
"Topic to delete was not found.","Topic to delete was not found."
"Topics","Topics"
"URL Key","URL Key"
"Url Prefix","Url Prefix"
"Url Suffix","Url Suffix"
"Warning message","Warning message"
"You moved the Category","You moved the Category"
"You saved the Category.","You saved the Category."
"mageplaza","mageplaza"
"start typing to search Category","start typing to search Category"
