"Save Change","Salvar Alterações"
"Edit Author '%1'","Editar Autor '%1'"
"New Author","Novo Autor"
"Author Information","Informações do Autor"
"Display Name","Exibir Nome"
"This name will be displayed on frontend","Este nome será exibido no frontend"
"Short Description","Descrição Curta"
Avatar,Avatar
"URL Key","URL Key"
Facebook,Facebook
"Facebook URL","Facebook URL"
Twitter,Twitter
"Twitter URL","Twitter URL"
"Author Info","Autor Info"
Categories,Categorias
"Create New Blog Category","Criar Nova Categoria de Blog"
"Save Category","Salvar Categoria"
"Delete Category","Deletar Categoria"
Reset,Resetar
"New Child Category","Nova Categoria Filha"
"New Root Category","Nova Categoria Raiz"
"Category Information","Informação da Categoria"
Name,Nome
Status,Status
"Store Views","Visualizações da Loja"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Robots","Meta Robots"
Category,Categoria
ID,ID
Position,Posição
Posts,Publicações
"Category Data","Dados da Categoria"
"Category information","Informação da Categoria"
"New Comment","Novo Comentário"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Edit Comment","Editar Comentário"
"Comment Details","Comentar Detalhes"
Post,Postar
Customer,Clientes
Content,Conteúdo
"View On Front End","Visualizar no Front End"
Comment,Comentar
"Comment Information","Comentar Informação"
"Create New Post","Criar Novo Post"
"Edit Post '%1'","Editar Publicação '%1'"
"New Post","Nova Publicação"
"Post Information","Informação do Post"
Image,Imagem
Topics,Topicos
Tags,Tags
"In RSS","Em RSS"
"Allow Comment","Permitir Comentário"
"Publish Date","Data de Publicação"
"Search Engine Optimization","Search Engine Optimization"
Sku,Sku
Products,Produtos
"New Category","Nova Categoria"
"New Tag","Nova Tag"
"New Topic","Novo Tópico"
"Create New Tag","Criar Nova Tag"
"Edit Tag '%1'","Editar Tag '%1'"
"Create Tag","Criar Tag"
"Tag Information","Informação da Tag"
Description,Descrição
Tag,Tag
"Create New Topic","Criar Novo Tópico"
"Edit Topic '%1'","Editar Tópico '%1'"
"Create Topic","Criar Tópico"
"Topic Information","Informação do Tópico"
Topic,Tópico
Author,Autor
"No Categories.","Sem Categorias."
"Posted on %1","Publicado em %1"
"| Posted in %1","| Publicado em %1"
"| By: %1","| Por: %1"
Blog,Blog
Home,Home
"Go to Home Page","Ir para Home"
"Monthy Archive","Arquivo Mensal"
"Related Posts %1","Posts Relacionados %1"
"Related Posts","Posts Relacionados"
"List Posts from %1","Listar Publicações de %1"
Reply,Responder
"Site Map","Site Map"
"Author Management","Gerenciamento de Autor"
"The Author has been saved.","O Autor foi salvo."
"Something went wrong while saving the Author.","Algo deu errado enquanto o Autor era salvo."
"This category no longer exists.","Essa categoria não existe mais."
"The Blog Category has been deleted.","A Categoria do Blog foi deletada."
"Blog Category to delete was not found.","Categoria do Blog a ser deletada não foi encontrada."
"%1 (ID: %2)","%1 (ID: %2)"
"Manage Categories","Gerenciar Categorias"
"Blog category is not available.","Categoria do Blog não está disponível."
"There was a Blog category move error.","Houve um erro ao mover a categoria do Blog."
"You moved the Blog category","Você moveu a categoria do Blog"
"You saved the category.","Você salvou a categoria."
"Something went wrong while saving the category.","Algo deu errado enquanto a Categoria era salva."
"You saved the Blog Category.","Você salvou a Categoria do Blog."
"This comment no longer exists.","Este comentário não existe mais."
"The Comment has been deleted.","Este comentário foi deletado."
"Comment to delete was not found.","Comentário a ser deletado não foi encontrado."
Comments,Comentários
"Please correct the data sent.","Por favor, corrija os dados enviados."
"Something went wrong while saving the Comment.","Algo deu errado enquanto o comentário era salvo."
"Total of %1 comments has been deleted.","Total de %1 comentários foram deletados."
"Something wrong when delete Comments.","Algo deu errado quando o comentário foi deletado."
"Something went wrong while updating status","Algo deu errado enquanto o status era atualizado"
"A total of %1 record(s) have been updated.","Um total de  %1 registro(s) foram atualizados."
"The comment has been saved.","O comentário foi salvo."
"This post no longer exists.","Esta postagem não existe mais."
"The Post has been deleted.","A Postagem foi deletada."
"Post to delete was not found.","A postagem a ser deletada não foi encontrada."
"Something went wrong while saving the Post.","Algo deu errado enquanto a postagem era salva."
"Posts has been deleted.","Postagens foram deletadas."
"Something wrong when delete Posts.","Algo deu errado quando a postagem foi deletada."
"Something went wrong while updating status for %1.","Algo deu errado enquanto o status era atualizado para %1."
"The post has been saved.","A postagem foi salva."
"This tag no longer exists.","Esta tag já não existe mais."
"The Tag has been deleted.","A Tag foi deletada."
"Tag to delete was not found.","A Tag para deletar não foi encontrada."
"Something went wrong while saving the Tag.","Algo deu errado enquanto a Tag era salva."
"Tags has been deleted.","Tags foram deletadas."
"Something wrong when delete Tag.","Algo deu errado quando a Tag foi deletada."
"You saved the tag.","Você salvou a Tag."
"Something went wrong while saving the tag.","Algo deu errado enquanto a Tag era salva."
"The Tag has been saved.","A Tag foi salva."
"This topic no longer exists.","Este tópico já não existe mais."
"The Topic has been deleted.","O Tópico foi deletado."
"Topic to delete was not found.","O Tópico a ser deletado não foi encontrado."
"Something went wrong while saving the Topic.","Algo deu errado enquanto o Tópico era salvo."
"Topics has been deleted.","Tópicos foram deletados."
"Something wrong when delete Topics.","Algo deu errado quando os Tópicos foram deletados."
"You saved the topic.","Você salvou o Tópico."
"Something went wrong while saving the topic.","Algo deu errado enquanto o Tópico era salvo."
"The Topic has been saved.","O Tópico foi salvo."
"Just now","Agora mesmo"
"Action not found.","Ação não encontrada."
"Unable to generate url key. Please check the setting and try again.","Impossível gerar chave url. Por favor cheque as configurações e tente novamente."
"Sorry, but we can't move the Blog Category because we can't find the new parent Blog Category you selected.","Descuple, mas nós não podemos mover a Categoria do Blog porque não pudemos encontrar o novo pai da Categoria do Blog que você selecionou."
"We can't perform this Blog Category move operation because the parent Blog Category matches the child Blog Category.","Não pudemos performar esta operação de mover a Categoria de Blog porque a Categoria de Blog pai coincide com a Categoria de Blog filho."
Light,Light
Dark,Dark
Social,Social
"Reverse time","Reverse time"
Time,Time
Approved,Aprovado
Pending,Pendente
Spam,Spam
"Default Comment","Comentário Padrão"
"Disqus Comment","Comentário Disqus"
"Facebook Comment","Comentário Facebook"
"Disable Completely","Desabilitar Completamente"
"List View","Visão em Lista"
"Grid View","Visão em Grade"
Left,Esquerda
Right,Direita
New,Novo
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Blogs &gt; Categories</a>.","Se não há categorias pai personalizadas, por favor use uma categoria padrão. Você pode reselecionar a categoria a qualquer momento em <a href=""%1"" target=""_blank"">Blogs &gt; Categorias</a>."
"Are you sure you want to delete this Category?","Você tem certeza que deseja deletar esta categoria?"
"This operation can take a long time","Esta operação pode levar algum tempo"
Sitemap,Sitemap
"Monthly Archive","Arquivo Mensal"
"Read More","Leia Mais"
"There are no posts at this moment","Não há postagens neste momento"
"No Related Posts","Não há Postagens Relacionadas"
"Categories: %1","Categorias: %1"
"Tags: %1","Tags: %1"
"By: %1","Por: %1"
"Modify By: %1 at %2","Modificado Por: %1 em %2"
"Share this post, Hit on social buttons!","Compartilhe esta postagem, clique nos botões sociais!"
"About the Author","Sobre o Autor"
"Related Products","Produtos Relacionados"
Login,Login
"Type comments here...","Digite os comentários aqui..."
Like,Like
Popular,Popular
"No Posts","Sem Postagens"
Latest,Últimos
Search,Buscar
"Search blogs here...","Procure blogs aqui..."
"Read more","Leia mais"
"Warning message","Mensagem de aviso"
Ok,Ok
Cancel,Cancelar
"Better Blog","Better Blog"
General,Geral
Enable,Habilitar
"Blog name","Nome do blog"
"Route name","Nome da rota"
"Url Suffix","Sufixo da Url"
"Show Blog Link in Top Menu","Exibir Link do Blog no Menu do Topo"
"Show Blog Link in Footer links","Exibir Link do Blog nos Links do Rodapé"
"Display author","Exibir autor"
"Display sitemap","Exibir sitemap"
"Date format","Formato da data"
"Limit related post","Limitar postagens relacionadas"
"Number of related post in post view page","Número de postagens relacionadas na página da postagem"
"Display Blogs Mode","Exibir Modos de Blogs"
"Blogs per Page Allowed Values","Valores Permitidos de Blogs por Página"
Comma-separated.,"Separado por vírgula".
"Choose blog's color","Escolha a cor do blog"
"Related Products Content","Conteúdo de Produtos Relacionados"
"Product Detail Page","Página de Detalhe de Produto"
"Enable Related Posts","Habilitar Posagens Relacionadas"
"Limit of Related Posts","Limite de Postagens Relacionadas"
"Post View Page","Página de Visualização da Postagem"
"Enable Related Products","Habilitar Produtos Relacionados"
"Limit of Related Products","Limite de Produtos Relacionados"
"Title of Related Products","Título de Produtos Relacionados"
Sidebar,"Barra Lateral"
"Number of recent posts","Número de postagens recentes"
"Number of most view posts","Número de postagens mais vistas"
"Sidebar Location","Local da Barra Lateral"
"Enable Search Box","Habilitar Caixa de Busca"
"Maximum Query Result","Máximo de Resultado da Busca"
"Min Chars","Min Chars"
"Visible Image","Imagem Visível"
"Description length","Comprimento da descrição"
"Enable Monthly Archive","Habilitar Arquivo Mensal"
"Number of records","Número de registros"
"Type of Datetime","Tipo do Datetime"
"Type of comment","Tipo do comentário"
"Need for Approval","Necessita de aprovação"
"Disqus unique name","Nome único do Disqus"
